crop,district,annual_rainfall_mm,n,p,k,temperature_c,humidity_pct,ph,recommended_fertilizer,fertilizer_plan,recommended_fertilizer_norm
maize,Lilongwe,1200,80,40,120,28.5,70,6.2,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting + 100kg/ha Urea top-dress at V6,npk 23:21:0
maize,Blantyre,1500,100,60,150,26.8,80,6.5,Urea,Apply 200kg/ha Urea basal at planting + 150kg/ha DAP top-dress at V6,urea
maize,Zomba,1000,60,30,90,25.9,60,5.8,DAP,Apply 150kg/ha DAP basal at planting + 100kg/ha CAN top-dress at V6,dap
rice,Mzuzu,1600,120,80,180,22.1,90,7.1,SSP,Apply 200kg/ha SSP basal at planting + 150kg/ha NPK 23:21:0 top-dress at V6,ssp
rice,Kasungu,1400,100,60,150,24.5,85,6.9,CAN,Apply 150kg/ha CAN basal at planting + 100kg/ha Urea top-dress at V6,can
rice,Dedza,1300,80,40,120,26.2,75,6.3,17-17-17,Apply 200kg/ha 17-17-17 basal at planting + 150kg/ha DAP top-dress at V6,17-17-17
cassava,Salima,1100,40,20,80,27.9,65,5.6,10-26-26,Apply 150kg/ha 10-26-26 basal at planting + 100kg/ha SSP top-dress at V6,10-26-26
cassava,Mangochi,900,20,10,60,25.1,55,5.1,28-28,Apply 200kg/ha 28-28 basal at planting + 150kg/ha Urea top-dress at V6,28-28
cassava,Balaka,800,10,5,50,23.8,50,4.9,14-35-14,Apply 150kg/ha 14-35-14 basal at planting + 100kg/ha CAN top-dress at V6,14-35-14
groundnuts,Chiradzulu,1400,60,30,100,29.5,70,6.6,Urea,Apply 200kg/ha Urea basal at planting + 150kg/ha DAP top-dress at V6,urea
groundnuts,Thyolo,1300,50,25,90,27.2,80,6.4,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting + 100kg/ha CAN top-dress at V6,npk 23:21:0
groundnuts,Mulanje,1200,40,20,80,25.9,75,6.2,17-17-17,Apply 200kg/ha 17-17-17 basal at planting + 150kg/ha SSP top-dress at V6,17-17-17
soybean,Lilongwe,1500,80,40,120,28.5,70,6.2,DAP,Apply 150kg/ha DAP basal at planting + 100kg/ha Urea top-dress at V6,dap
soybean,Blantyre,1600,100,60,150,26.8,80,6.5,SSP,Apply 200kg/ha SSP basal at planting + 150kg/ha NPK 23:21:0 top-dress at V6,ssp
soybean,Zomba,1400,60,30,100,25.9,60,5.8,14-35-14,Apply 150kg/ha 14-35-14 basal at planting + 100kg/ha CAN top-dress at V6,14-35-14
sorghum,Mzuzu,1800,120,80,180,22.1,90,7.1,CAN,Apply 150kg/ha CAN basal at planting + 100kg/ha Urea top-dress at V6,can
sorghum,Kasungu,1700,100,60,150,24.5,85,6.9,10-26-26,Apply 200kg/ha 10-26-26 basal at planting + 150kg/ha DAP top-dress at V6,10-26-26
sorghum,Dedza,1600,80,40,120,26.2,75,6.3,28-28,Apply 150kg/ha 28-28 basal at planting + 100kg/ha SSP top-dress at V6,28-28
millet,Salima,1200,40,20,80,27.9,65,5.6,Urea,Apply 200kg/ha Urea basal at planting + 150kg/ha DAP top-dress at V6,urea
millet,Mangochi,1000,20,10,60,25.1,55,5.1,17-17-17,Apply 150kg/ha 17-17-17 basal at planting + 100kg/ha CAN top-dress at V6,17-17-17
millet,Balaka,900,10,5,50,23.8,50,4.9,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting + 100kg/ha Urea top-dress at V6,npk 23:21:0
sweetpotato,Lilongwe,1300,50,25,90,27.2,80,6.4,SSP,Apply 150kg/ha SSP basal at planting + 100kg/ha CAN top-dress at V6,ssp
sweetpotato,Blantyre,1400,60,30,100,29.5,70,6.6,14-35-14,Apply 200kg/ha 14-35-14 basal at planting + 150kg/ha DAP top-dress at V6,14-35-14
sweetpotato,Zomba,1200,40,20,80,25.9,75,6.2,10-26-26,Apply 150kg/ha 10-26-26 basal at planting + 100kg/ha Urea top-dress at V6,10-26-26
pigeonpeas,Balaka,1200,90,40,110,28.5,70,6.2,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting,npk 23:21:0
pigeonpeas,Chiradzulu,900,60,20,60,26.0,60,5.8,CAN,Apply 100kg/ha CAN basal at planting + 50kg/ha Urea top-dress at V6,can
pigeonpeas,Mulanje,1500,120,60,140,30.0,80,7.1,SSP,Apply 200kg/ha SSP basal at planting,ssp
cotton,Chikwawa,1800,100,50,150,32.0,90,7.5,Urea,Apply 150kg/ha Urea basal at planting + 100kg/ha DAP top-dress at V6,urea
cotton,Karonga,1600,80,40,120,29.0,85,6.9,DAP,Apply 200kg/ha DAP basal at planting,dap
cotton,Rumphi,1400,60,30,100,26.5,75,6.3,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting + 50kg/ha Urea top-dress at V6,npk 23:21:0
tobacco,Dowa,1000,40,20,80,24.0,55,5.5,CAN,Apply 100kg/ha CAN basal at planting + 50kg/ha Urea top-dress at V6,can
tobacco,Mchinji,1100,50,25,90,25.5,65,5.9,SSP,Apply 200kg/ha SSP basal at planting,ssp
tobacco,Nkhata Bay,1300,70,35,110,27.0,75,6.4,DAP,Apply 200kg/ha DAP basal at planting,dap
sunflower,Balaka,1200,80,40,120,29.0,80,6.8,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting + 50kg/ha Urea top-dress at V6,npk 23:21:0
sunflower,Chiradzulu,900,60,30,100,26.5,70,6.2,CAN,Apply 100kg/ha CAN basal at planting,can
sunflower,Phalombe,1500,100,50,140,30.5,85,7.0,SSP,Apply 200kg/ha SSP basal at planting,ssp
banana,Mulanje,1800,120,60,150,32.0,95,7.4,Urea,Apply 150kg/ha Urea basal at planting + 100kg/ha DAP top-dress at V6,urea
banana,Nsanje,1600,100,50,140,31.0,90,7.2,DAP,Apply 200kg/ha DAP basal at planting,dap
banana,Thyolo,1400,80,40,120,29.5,85,6.9,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting + 50kg/ha Urea top-dress at V6,npk 23:21:0
coconut,Chikwawa,2000,140,70,200,35.0,100,8.1,CAN,Apply 100kg/ha CAN basal at planting + 50kg/ha Urea top-dress at V6,can
coconut,Karonga,1800,120,60,180,33.5,95,7.6,SSP,Apply 200kg/ha SSP basal at planting,ssp
coconut,Rumphi,1600,100,50,160,32.0,90,7.3,Urea,Apply 150kg/ha Urea basal at planting + 100kg/ha DAP top-dress at V6,urea
coffee,Balaka,1200,80,40,120,29.0,80,6.8,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting + 50kg/ha Urea top-dress at V6,npk 23:21:0
coffee,Chiradzulu,900,60,30,100,26.5,70,6.2,CAN,Apply 100kg/ha CAN basal at planting,can
coffee,Mulanje,1500,100,50,140,30.5,85,7.0,SSP,Apply 200kg/ha SSP basal at planting,ssp
mungbean,Dowa,1000,40,20,80,24.0,55,5.5,CAN,Apply 100kg/ha CAN basal at planting + 50kg/ha Urea top-dress at V6,can
mungbean,Mchinji,1100,50,25,90,25.5,65,5.9,SSP,Apply 200kg/ha SSP basal at planting,ssp
mungbean,Nkhata Bay,1300,70,35,110,27.0,75,6.4,DAP,Apply 200kg/ha DAP basal at planting,dap
lentil,Rumphi,1200,90,60,120,25.5,70,6.2,Urea,Apply 150kg/ha Urea basal at planting,urea
blackgram,Mchinji,1500,120,80,150,28.0,80,6.8,DAP,Apply 200kg/ha DAP basal at planting + 100kg/ha Urea top-dress at V6,dap
chickpea,Nkhotakota,1800,130,100,180,31.5,90,7.3,NPK 23:21:0,Apply 250kg/ha NPK 23:21:0 basal at planting,npk 23:21:0
kidneybeans,Machinga,1600,110,70,140,29.0,85,6.5,CAN,Apply 220kg/ha CAN basal at planting + 110kg/ha Urea top-dress at V6,can
sugarcane,Ntcheu,2000,140,100,200,32.0,95,7.8,SSP,Apply 300kg/ha SSP basal at planting + 150kg/ha Urea top-dress at V6,ssp
wheat,Neno,1000,60,40,90,20.5,60,5.9,17-17-17,Apply 180kg/ha 17-17-17 basal at planting + 90kg/ha Urea top-dress at V6,17-17-17
barley,Likoma,800,50,30,80,19.0,55,5.5,14-35-14,Apply 160kg/ha 14-35-14 basal at planting + 80kg/ha Urea top-dress at V6,14-35-14
cowpea,Chitipa,1200,90,60,120,25.5,70,6.2,10-26-26,Apply 140kg/ha 10-26-26 basal at planting + 70kg/ha Urea top-dress at V6,10-26-26
sesame,Mwanza,1200,70,40,120,28.5,70,6.8,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting,npk 23:21:0
sesame,Neno,900,50,30,100,26.2,60,6.2,Urea,Apply 250kg/ha Urea top-dress at V6,urea
sesame,Likoma,1800,90,50,150,32.1,80,7.1,CAN,Apply 200kg/ha CAN basal at planting,can
papaya,Chitipa,1500,60,35,110,29.8,75,6.5,DAP,Apply 300kg/ha DAP basal at planting,dap
papaya,Lilongwe,1100,40,25,90,27.3,65,6.0,SSP,Apply 220kg/ha SSP basal at planting,ssp
papaya,Blantyre,1300,55,32,120,28.9,72,6.7,17-17-17,Apply 180kg/ha 17-17-17 basal at planting,17-17-17
mango,Zomba,1600,65,38,130,30.6,82,7.0,NPK 23:21:0,Apply 220kg/ha NPK 23:21:0 basal at planting,npk 23:21:0
mango,Mzuzu,1400,50,30,110,29.4,78,6.9,Urea,Apply 200kg/ha Urea top-dress at V6,urea
mango,Kasungu,1700,70,42,140,31.9,85,7.2,CAN,Apply 250kg/ha CAN basal at planting,can
tomato,Dedza,1000,30,20,80,25.6,58,5.8,DAP,Apply 300kg/ha DAP basal at planting,dap
tomato,Salima,1300,45,28,100,27.9,68,6.3,SSP,Apply 220kg/ha SSP basal at planting,ssp
tomato,Mangochi,1200,35,22,90,26.5,62,6.1,17-17-17,Apply 180kg/ha 17-17-17 basal at planting,17-17-17
onion,Likoma,800,20,15,60,24.1,50,5.5,Urea,Apply 250kg/ha Urea top-dress at V6,urea
onion,Lilongwe,1000,25,18,70,25.8,56,5.9,CAN,Apply 200kg/ha CAN basal at planting,can
onion,Neno,900,15,12,50,24.5,52,5.7,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting,npk 23:21:0
cabbage,Mwanza,1100,30,20,80,26.3,60,6.0,DAP,Apply 300kg/ha DAP basal at planting,dap
cabbage,Chitipa,1300,40,25,90,27.9,65,6.3,SSP,Apply 220kg/ha SSP basal at planting,ssp
cabbage,Mzuzu,1200,35,22,90,26.8,62,6.2,17-17-17,Apply 180kg/ha 17-17-17 basal at planting,17-17-17
beans,Kasungu,1000,20,15,60,24.9,55,5.6,Urea,Apply 250kg/ha Urea top-dress at V6,urea
beans,Zomba,1100,25,18,70,25.6,58,5.8,CAN,Apply 200kg/ha CAN basal at planting,can
beans,Blantyre,1200,30,20,80,26.3,60,6.0,NPK 23:21:0,Apply 150kg/ha NPK 23:21:0 basal at planting,npk 23:21:0
avocado,Salima,1400,40,25,90,28.1,70,6.6,DAP,Apply 300kg/ha DAP basal at planting,dap
avocado,Mangochi,1300,35,22,90,27.4,65,6.2,SSP,Apply 220kg/ha SSP basal at planting,ssp
avocado,Likoma,1600,45,28,100,29.9,75,6.8,17-17-17,Apply 180kg/ha 17-17-17 basal at planting,17-17-17
peas,Kasungu,1200,60,30,20,22.5,70,6.8,Urea,Apply 150kg/ha Urea basal at planting + 75kg/ha CAN top-dress at V6,urea
peas,Dedza,900,40,20,15,20.5,60,6.2,DAP,Apply 200kg/ha DAP basal at planting,dap
peas,Salima,1500,80,40,25,25.5,80,7.0,NPK 23:21:0,Apply 250kg/ha NPK 23:21:0 basal at planting + 125kg/ha Urea top-dress at V6,npk 23:21:0
watermelon,Mangochi,1800,100,50,35,28.5,90,7.5,17-17-17,Apply 300kg/ha 17-17-17 basal at planting,17-17-17
watermelon,Balaka,1600,90,45,30,26.5,85,7.2,SSP,Apply 220kg/ha SSP basal at planting,ssp
watermelon,Chiradzulu,1400,80,40,25,24.5,75,6.9,28-28,Apply 280kg/ha 28-28 basal at planting,28-28
pumpkin,Thyolo,1300,70,35,20,23.5,65,6.5,Urea,Apply 180kg/ha Urea basal at planting + 90kg/ha CAN top-dress at V6,urea
pumpkin,Mulanje,1100,50,25,15,21.5,55,6.0,DAP,Apply 200kg/ha DAP basal at planting,dap
pumpkin,Phalombe,1600,90,45,30,25.5,80,7.0,14-35-14,Apply 240kg/ha 14-35-14 basal at planting,14-35-14
chilli,Chikwawa,1400,80,40,25,26.5,75,6.8,NPK 23:21:0,Apply 250kg/ha NPK 23:21:0 basal at planting + 125kg/ha Urea top-dress at V6,npk 23:21:0
chilli,Nsanje,1200,60,30,20,24.5,70,6.5,10-26-26,Apply 220kg/ha 10-26-26 basal at planting,10-26-26
chilli,Karonga,1500,90,45,30,27.5,85,7.2,20-20,Apply 280kg/ha 20-20 basal at planting,20-20
garlic,Kasungu,1000,50,25,15,20.5,60,6.0,CAN,Apply 150kg/ha CAN basal at planting,can
garlic,Dedza,800,40,20,10,19.5,55,5.8,Urea,Apply 120kg/ha Urea basal at planting,urea
garlic,Salima,1200,60,30,20,22.5,70,6.5,DAP,Apply 180kg/ha DAP basal at planting,dap
ginger,Mangochi,1800,100,50,35,28.5,90,7.5,17-17-17,Apply 300kg/ha 17-17-17 basal at planting,17-17-17
ginger,Balaka,1600,90,45,30,26.5,85,7.2,SSP,Apply 220kg/ha SSP basal at planting,ssp
ginger,Chiradzulu,1400,80,40,25,24.5,75,6.9,28-28,Apply 280kg/ha 28-28 basal at planting,28-28
tea,Thyolo,1300,70,35,20,23.5,65,6.5,Urea,Apply 180kg/ha Urea basal at planting + 90kg/ha CAN top-dress at V6,urea
tea,Mulanje,1100,50,25,15,21.5,55,6.0,DAP,Apply 200kg/ha DAP basal at planting,dap
tea,Phalombe,1600,90,45,30,25.5,80,7.0,14-35-14,Apply 240kg/ha 14-35-14 basal at planting,14-35-14
macadamia,Chikwawa,1400,80,40,25,26.5,75,6.8,NPK 23:21:0,Apply 250kg/ha NPK 23:21:0 basal at planting + 125kg/ha Urea top-dress at V6,npk 23:21:0
macadamia,Nsanje,1200,60,30,20,24.5,70,6.5,10-26-26,Apply 220kg/ha 10-26-26 basal at planting,10-26-26
macadamia,Karonga,1500,90,45,30,27.5,85,7.2,20-20,Apply 280kg/ha 20-20 basal at planting,20-20
